name,link
cbsnews,http://www.cbsnews.com
tennis,http://www.tennis.com
washingtonian,http://washingtonian.com
sciencedaily,http://www.sciencedaily.com
foxsports,http://foxsports.com
popularmechanics,http://www.popularmechanics.com
macworld,http://www.macworld.com
thinkprogress,http://thinkprogress.org
mtv,http://www.mtv.com
discovery,http://discovery.com
people,http://www.people.com
thedailybeast,http://thedailybeast.com
hollywood,http://www.hollywood.com
medium,http://medium.com
engadget,http://www.engadget.com
usnews,http://www.usnews.com
billboard,http://www.billboard.com
nationalgeographic,http://nationalgeographic.com
purseblog,http://www.purseblog.com
giantbomb,http://www.giantbomb.com
automobilemag,http://www.automobilemag.com
thechronicle,http://thechronicle.com.au
tbnweekly,http://tbnweekly.com
techreport,http://techreport.com
thedailyfix,http://thedailyfix.com
animenewsnetwork,http://www.animenewsnetwork.com
realclearpolitics,http://www.realclearpolitics.com
usatoday,http://usatoday.com
techspot,http://www.techspot.com
discovermagazine,http://discovermagazine.com
arstechnica,http://arstechnica.com
foreignpolicy,http://foreignpolicy.com
redstate,http://www.redstate.com
marketwatch,http://www.marketwatch.com
eurogamer,http://www.eurogamer.net
cbn,http://cbn.com
parade,http://www.parade.com
bbcamerica,http://www.bbcamerica.com
washingtonindependent,http://washingtonindependent.com
drudgereport,http://drudgereport.com
beta.na.leagueoflegends,http://beta.na.leagueoflegends.com
aajtak,https://aajtak.intoday.in/
hindustan-times,https://www.hindustantimes.com
bhaskar,https://www.bhaskar.com/
hackernews,https://news.ycombinator.com/
ndtv,https://khabar.ndtv.com/
zee,http://zeenews.india.com/hindi
jagran,https://www.jagran.com/
toi,https://timesofindia.indiatimes.com/
